Zone;Roche's Hole;50,50;66,70;1;
Zone;Field of Laudable Wakey's;34,50;50,66;0;
Zone;Gritty Melmoths Field;24,50;34,64;0;
Zone;Cave of Meters;8,50;24,62;0;
Zone;Ocean of Protest;-28,50;8,76;0;
Zone;Nouronihar Ocean;-48,50;-28,76;0;
Zone;Bakufu Village;-58,50;-48,58;0;
Zone;Fat 'Just Fields;-72,50;-58,62;0;
Zone;Gling Sea;-92,50;-72,74;0;
Zone;Town of Dividing Raynal;-104,50;-92,60;0;
Zone;Cave of Jarring Anthropometrist;-118,50;-104,58;0;
Tile;;-94,48;1;1;7;
Tile;;-93,36;1;1;7;
Tile;;-93,38;1;1;7;
Tile;;-93,40;1;1;7;
Tile;;-93,44;1;1;7;
Tile;;-93,48;1;1;7;
Tile;;-92,36;1;1;7;
Tile;;-92,38;1;1;7;
Tile;;-92,40;1;1;7;
Tile;;-92,41;1;1;7;
Tile;;-92,42;1;1;7;
Tile;;-92,43;1;1;7;
Tile;;-92,44;1;1;7;
Tile;;-92,46;1;1;7;
Tile;;-92,47;1;1;7;
Tile;;-92,48;1;1;7;
Tile;;-91,38;1;1;7;
Tile;;-103,38;1;1;7;
Tile;;-102,36;1;1;7;
Tile;;-102,38;1;1;7;
Tile;;-102,39;1;1;7;
Tile;;-102,40;1;1;7;
Tile;;-102,42;1;1;7;
Tile;;-102,43;1;1;7;
Tile;;-102,44;1;1;7;
Tile;;-102,45;1;1;7;
Tile;;-102,46;1;1;7;
Tile;;-102,47;1;1;7;
Tile;;-102,48;1;1;7;
Tile;grass;-103,35;0;6;6;
NPC;Grommash;-97,43;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Psst;-99,45;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Harassings;-94,41;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Interviewed;-101,44;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Hieroglyphed;-95,41;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Kippered;-93,42;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-104,59;1;1;7;
Tile;;-104,60;1;1;7;
Tile;;-103,60;1;1;7;
Tile;;-102,60;1;1;7;
Tile;;-101,60;1;1;7;
Tile;;-100,60;1;1;7;
Tile;;-99,60;1;1;7;
Tile;;-98,60;1;1;7;
Tile;;-97,60;1;1;7;
Tile;;-96,60;1;1;7;
Tile;;-95,60;1;1;7;
Tile;;-94,60;1;1;7;
Tile;;-93,60;1;1;7;
Tile;;-92,60;1;1;7;
Tile;;-92,52;1;1;7;
Tile;;-92,53;1;1;7;
Tile;;-92,54;1;1;7;
Tile;;-92,55;1;1;7;
Tile;;-92,56;1;1;7;
Tile;;-92,57;1;1;7;
Tile;;-92,58;1;1;7;
Tile;;-92,59;1;1;7;
Tile;grass;-103,51;0;6;6;
NPC;Barked;-102,56;1;2;1;battle;randomAI;displayDialogue(0);
Zone;Ahaha Town;-92,74;-74,84;0;
Zone;Futile Medivh's Hole;-110,74;-92,102;0;
Tile;;-110,74;1;1;7;
Tile;;-110,75;1;1;7;
Tile;;-110,76;1;1;7;
Tile;;-110,77;1;1;7;
Tile;;-110,78;1;1;7;
Tile;;-110,79;1;1;7;
Tile;;-110,80;1;1;7;
Tile;;-110,81;1;1;7;
Tile;;-110,82;1;1;7;
Tile;;-110,83;1;1;7;
Tile;;-110,84;1;1;7;
Tile;;-110,85;1;1;7;
Tile;;-110,86;1;1;7;
Tile;;-110,87;1;1;7;
Tile;;-110,88;1;1;7;
Tile;;-110,89;1;1;7;
Tile;;-110,90;1;1;7;
Tile;;-110,91;1;1;7;
Tile;;-110,92;1;1;7;
Tile;;-110,93;1;1;7;
Tile;;-110,94;1;1;7;
Tile;;-110,95;1;1;7;
Tile;;-110,96;1;1;7;
Tile;;-110,97;1;1;7;
Tile;;-110,98;1;1;7;
Tile;;-110,99;1;1;7;
Tile;;-110,100;1;1;7;
Tile;;-110,101;1;1;7;
Tile;;-110,102;1;1;7;
Tile;;-109,102;1;1;7;
Tile;;-108,102;1;1;7;
Tile;;-107,102;1;1;7;
Tile;;-106,102;1;1;7;
Tile;;-105,102;1;1;7;
Tile;;-104,102;1;1;7;
Tile;;-103,102;1;1;7;
Tile;;-102,102;1;1;7;
Tile;;-101,102;1;1;7;
Tile;;-100,102;1;1;7;
Tile;;-99,102;1;1;7;
Tile;;-98,102;1;1;7;
Tile;;-97,102;1;1;7;
Tile;;-96,102;1;1;7;
Tile;;-95,102;1;1;7;
Tile;;-94,102;1;1;7;
Tile;;-93,102;1;1;7;
Tile;;-92,102;1;1;7;
Tile;;-92,74;1;1;7;
Tile;;-92,75;1;1;7;
Tile;;-92,76;1;1;7;
Tile;;-92,77;1;1;7;
Tile;;-92,79;1;1;7;
Tile;;-92,80;1;1;7;
Tile;;-92,81;1;1;7;
Tile;;-92,82;1;1;7;
Tile;;-92,83;1;1;7;
Tile;;-92,84;1;1;7;
Tile;;-92,85;1;1;7;
Tile;;-92,86;1;1;7;
Tile;;-92,87;1;1;7;
Tile;;-92,88;1;1;7;
Tile;;-92,89;1;1;7;
Tile;;-92,90;1;1;7;
Tile;;-92,91;1;1;7;
Tile;;-92,92;1;1;7;
Tile;;-92,93;1;1;7;
Tile;;-92,94;1;1;7;
Tile;;-92,95;1;1;7;
Tile;;-92,96;1;1;7;
Tile;;-92,97;1;1;7;
Tile;;-92,98;1;1;7;
Tile;;-92,99;1;1;7;
Tile;;-92,100;1;1;7;
Tile;;-92,101;1;1;7;
Tile;;-109,74;1;1;7;
Tile;;-108,74;1;1;7;
Tile;;-107,74;1;1;7;
Tile;;-106,74;1;1;7;
Tile;;-105,74;1;1;7;
Tile;;-104,74;1;1;7;
Tile;;-103,74;1;1;7;
Tile;;-102,74;1;1;7;
Tile;;-101,74;1;1;7;
Tile;;-100,74;1;1;7;
Tile;;-99,74;1;1;7;
Tile;;-98,74;1;1;7;
Tile;;-97,74;1;1;7;
Tile;;-96,74;1;1;7;
Tile;;-95,74;1;1;7;
Tile;;-94,74;1;1;7;
Tile;;-93,74;1;1;7;
Tile;grass;-109,75;0;6;6;
NPC;Engels;-104,100;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Ikey;-106,77;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Teetering;-100,81;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Dieb;-94,98;1;2;1;battle;randomAI;displayDialogue(0);
NPC;'Mong;-102,78;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Innkeep;-95,86;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Mudcrabs;-108,87;1;2;1;battle;randomAI;displayDialogue(0);
NPC;'Twixt;-96,101;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Breadbasket;-97,81;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Hullcoop's;-101,88;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Endit;-108,86;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Ankled;-100,101;1;2;1;battle;randomAI;displayDialogue(0);
Zone;Crunching River;-92,84;-84,92;0;
Tile;;-91,92;1;1;7;
Tile;;-90,92;1;1;7;
Tile;;-89,92;1;1;7;
Tile;;-88,92;1;1;7;
Tile;;-87,92;1;1;7;
Tile;;-86,92;1;1;7;
Tile;;-85,92;1;1;7;
Tile;;-84,92;1;1;7;
Tile;;-84,84;1;1;7;
Tile;;-84,85;1;1;7;
Tile;;-84,86;1;1;7;
Tile;;-84,87;1;1;7;
Tile;;-84,88;1;1;7;
Tile;;-84,89;1;1;7;
Tile;;-84,90;1;1;7;
Tile;;-84,91;1;1;7;
Tile;;-91,84;1;1;7;
Tile;;-90,84;1;1;7;
Tile;;-89,84;1;1;7;
Tile;;-88,84;1;1;7;
Tile;;-86,84;1;1;7;
Tile;;-85,84;1;1;7;
Tile;;-88,91;1;5;6;
Tile;grass;-91,85;0;6;6;
Zone;Woozy Calcelmo's City;-74,74;-54,96;0;
Tile;;-74,74;1;1;7;
Tile;;-74,75;1;1;7;
Tile;;-74,76;1;1;7;
Tile;;-74,77;1;1;7;
Tile;;-74,79;1;1;7;
Tile;;-74,80;1;1;7;
Tile;;-74,81;1;1;7;
Tile;;-74,82;1;1;7;
Tile;;-74,83;1;1;7;
Tile;;-74,84;1;1;7;
Tile;;-74,85;1;1;7;
Tile;;-74,86;1;1;7;
Tile;;-74,87;1;1;7;
Tile;;-74,88;1;1;7;
Tile;;-74,89;1;1;7;
Tile;;-74,90;1;1;7;
Tile;;-74,91;1;1;7;
Tile;;-74,92;1;1;7;
Tile;;-74,93;1;1;7;
Tile;;-74,94;1;1;7;
Tile;;-74,95;1;1;7;
Tile;;-74,96;1;1;7;
Tile;;-73,96;1;1;7;
Tile;;-72,96;1;1;7;
Tile;;-71,96;1;1;7;
Tile;;-70,96;1;1;7;
Tile;;-69,96;1;1;7;
Tile;;-68,96;1;1;7;
Tile;;-67,96;1;1;7;
Tile;;-66,96;1;1;7;
Tile;;-65,96;1;1;7;
Tile;;-64,96;1;1;7;
Tile;;-63,96;1;1;7;
Tile;;-62,96;1;1;7;
Tile;;-61,96;1;1;7;
Tile;;-60,96;1;1;7;
Tile;;-59,96;1;1;7;
Tile;;-58,96;1;1;7;
Tile;;-57,96;1;1;7;
Tile;;-56,96;1;1;7;
Tile;;-55,96;1;1;7;
Tile;;-54,96;1;1;7;
Tile;;-54,74;1;1;7;
Tile;;-54,75;1;1;7;
Tile;;-54,76;1;1;7;
Tile;;-54,77;1;1;7;
Tile;;-54,78;1;1;7;
Tile;;-54,79;1;1;7;
Tile;;-54,80;1;1;7;
Tile;;-54,81;1;1;7;
Tile;;-54,82;1;1;7;
Tile;;-54,83;1;1;7;
Tile;;-54,84;1;1;7;
Tile;;-54,85;1;1;7;
Tile;;-54,86;1;1;7;
Tile;;-54,87;1;1;7;
Tile;;-54,88;1;1;7;
Tile;;-54,89;1;1;7;
Tile;;-54,90;1;1;7;
Tile;;-54,91;1;1;7;
Tile;;-54,92;1;1;7;
Tile;;-54,93;1;1;7;
Tile;;-54,94;1;1;7;
Tile;;-54,95;1;1;7;
Tile;;-73,74;1;1;7;
Tile;;-72,74;1;1;7;
Tile;;-71,74;1;1;7;
Tile;;-70,74;1;1;7;
Tile;;-69,74;1;1;7;
Tile;;-68,74;1;1;7;
Tile;;-67,74;1;1;7;
Tile;;-66,74;1;1;7;
Tile;;-65,74;1;1;7;
Tile;;-64,74;1;1;7;
Tile;;-63,74;1;1;7;
Tile;;-62,74;1;1;7;
Tile;;-61,74;1;1;7;
Tile;;-60,74;1;1;7;
Tile;;-59,74;1;1;7;
Tile;;-58,74;1;1;7;
Tile;;-57,74;1;1;7;
Tile;;-56,74;1;1;7;
Tile;;-55,74;1;1;7;
Tile;grass;-73,75;0;6;6;
NPC;Rocking;-60,95;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Tsathoggua;-56,89;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Brockden;-56,82;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Saxon;-55,93;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Underway;-66,80;1;2;1;battle;randomAI;displayDialogue(0);
NPC;O;-60,81;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Kring;-69,88;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Leonard;-71,83;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Glinted;-56,76;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Big'uns;-66,85;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Crede;-56,94;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Bugger;-66,83;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Maiden';-63,78;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Naples;-58,92;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Mortem;-64,77;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Keets;-66,95;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Scandinavian;-63,81;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Translated;-57,76;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-83,84;1;1;7;
Tile;;-82,84;1;1;7;
Tile;;-81,84;1;1;7;
Tile;;-80,84;1;1;7;
Tile;;-79,84;1;1;7;
Tile;;-78,84;1;1;7;
Tile;;-77,84;1;1;7;
Tile;;-76,84;1;1;7;
Tile;;-75,84;1;1;7;
Tile;;-91,74;1;1;7;
Tile;;-90,74;1;1;7;
Tile;;-89,74;1;1;7;
Tile;;-88,74;1;1;7;
Tile;;-87,74;1;1;7;
Tile;;-86,74;1;1;7;
Tile;;-85,74;1;1;7;
Tile;;-84,74;1;1;7;
Tile;;-83,74;1;1;7;
Tile;;-81,74;1;1;7;
Tile;;-80,74;1;1;7;
Tile;;-79,74;1;1;7;
Tile;;-78,74;1;1;7;
Tile;;-77,74;1;1;7;
Tile;;-76,74;1;1;7;
Tile;;-75,74;1;1;7;
Tile;grass;-91,75;0;6;6;
NPC;S';-82,78;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Ai;-85,81;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Calvinists;-85,82;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-92,61;1;1;7;
Tile;;-92,62;1;1;7;
Tile;;-92,63;1;1;7;
Tile;;-92,64;1;1;7;
Tile;;-92,65;1;1;7;
Tile;;-92,66;1;1;7;
Tile;;-92,67;1;1;7;
Tile;;-92,68;1;1;7;
Tile;;-92,69;1;1;7;
Tile;;-92,70;1;1;7;
Tile;;-92,71;1;1;7;
Tile;;-92,72;1;1;7;
Tile;;-92,73;1;1;7;
Tile;;-72,50;1;1;7;
Tile;;-72,51;1;1;7;
Tile;;-72,52;1;1;7;
Tile;;-72,53;1;1;7;
Tile;;-72,54;1;1;7;
Tile;;-72,55;1;1;7;
Tile;;-72,56;1;1;7;
Tile;;-72,57;1;1;7;
Tile;;-72,59;1;1;7;
Tile;;-72,60;1;1;7;
Tile;;-72,61;1;1;7;
Tile;;-72,62;1;1;7;
Tile;;-72,63;1;1;7;
Tile;;-72,64;1;1;7;
Tile;;-72,65;1;1;7;
Tile;;-72,66;1;1;7;
Tile;;-72,67;1;1;7;
Tile;;-72,68;1;1;7;
Tile;;-72,69;1;1;7;
Tile;;-72,70;1;1;7;
Tile;;-72,71;1;1;7;
Tile;;-72,72;1;1;7;
Tile;;-72,73;1;1;7;
Tile;;-89,50;1;1;7;
Tile;;-88,50;1;1;7;
Tile;;-87,50;1;1;7;
Tile;;-86,50;1;1;7;
Tile;;-85,50;1;1;7;
Tile;;-84,50;1;1;7;
Tile;;-83,50;1;1;7;
Tile;;-82,50;1;1;7;
Tile;;-81,50;1;1;7;
Tile;;-80,50;1;1;7;
Tile;;-79,50;1;1;7;
Tile;;-78,50;1;1;7;
Tile;;-77,50;1;1;7;
Tile;;-76,50;1;1;7;
Tile;;-75,50;1;1;7;
Tile;;-74,50;1;1;7;
Tile;;-73,50;1;1;7;
Tile;;-87,63;1;5;6;
Tile;;-86,71;1;5;6;
Tile;;-79,52;1;5;6;
Tile;;-83,52;1;5;6;
Tile;;-90,73;1;5;6;
Tile;;-76,65;1;5;6;
Tile;;-83,67;1;5;6;
Tile;;-89,57;1;5;6;
Tile;;-86,67;1;5;6;
Tile;;-85,52;1;5;6;
Tile;;-83,63;1;5;6;
Tile;;-76,63;1;5;6;
Tile;;-73,53;1;5;6;
Tile;;-90,67;1;5;6;
Tile;;-83,69;1;5;6;
Tile;;-75,63;1;5;6;
Tile;;-77,61;1;5;6;
Tile;;-81,70;1;5;6;
Tile;;-85,54;1;5;6;
Tile;;-88,56;1;5;6;
Tile;;-73,62;1;5;6;
Tile;;-73,68;1;5;6;
Tile;;-74,70;1;5;6;
Tile;;-77,57;1;5;6;
Tile;;-85,61;1;5;6;
Tile;;-82,56;1;5;6;
Tile;;-80,56;1;5;6;
Tile;;-90,64;1;5;6;
Tile;;-84,57;1;5;6;
Tile;;-85,67;1;5;6;
Tile;;-82,59;1;5;6;
Tile;;-80,67;1;5;6;
Tile;;-76,55;1;5;6;
Tile;;-76,68;1;5;6;
Tile;;-76,54;1;5;6;
Tile;;-78,62;1;5;6;
Tile;;-74,61;1;5;6;
Tile;;-83,70;1;5;6;
Tile;;-85,55;1;5;6;
Tile;;-86,57;1;5;6;
Tile;;-85,60;1;5;6;
Tile;;-84,73;1;5;6;
Tile;;-89,67;1;5;6;
Tile;;-88,57;1;5;6;
Tile;;-87,68;1;5;6;
Tile;;-74,71;1;5;6;
Tile;;-89,61;1;5;6;
Tile;;-88,69;1;5;6;
Tile;grass;-91,51;0;6;6;
NPC;Arano;-79,53;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Hublands;-78,55;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Qahnaarin;-74,73;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Oliver;-78,71;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Untoggled;-88,72;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Peterson's;-84,53;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Broadman's;-84,52;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Omnicognizance;-79,58;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Penetrated;-77,59;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Georgian;-90,57;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Dragsmen;-74,72;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Be;-78,57;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Shackleton;-75,61;1;2;1;battle;randomAI;displayDialogue(0);
Zone;Leland Field;-72,62;-58,72;0;
Zone;Aaron's Cavern;-58,62;-48,72;0;
Tile;;-58,62;1;1;7;
Tile;;-58,63;1;1;7;
Tile;;-58,64;1;1;7;
Tile;;-58,65;1;1;7;
Tile;;-58,67;1;1;7;
Tile;;-58,68;1;1;7;
Tile;;-58,69;1;1;7;
Tile;;-58,70;1;1;7;
Tile;;-58,71;1;1;7;
Tile;;-58,72;1;1;7;
Tile;;-57,72;1;1;7;
Tile;;-56,72;1;1;7;
Tile;;-55,72;1;1;7;
Tile;;-54,72;1;1;7;
Tile;;-53,72;1;1;7;
Tile;;-52,72;1;1;7;
Tile;;-51,72;1;1;7;
Tile;;-50,72;1;1;7;
Tile;;-49,72;1;1;7;
Tile;;-48,72;1;1;7;
Tile;;-48,62;1;1;7;
Tile;;-48,63;1;1;7;
Tile;;-48,64;1;1;7;
Tile;;-48,65;1;1;7;
Tile;;-48,66;1;1;7;
Tile;;-48,67;1;1;7;
Tile;;-48,68;1;1;7;
Tile;;-48,69;1;1;7;
Tile;;-48,70;1;1;7;
Tile;;-48,71;1;1;7;
Tile;;-57,62;1;1;7;
Tile;;-56,62;1;1;7;
Tile;;-55,62;1;1;7;
Tile;;-54,62;1;1;7;
Tile;;-53,62;1;1;7;
Tile;;-52,62;1;1;7;
Tile;;-51,62;1;1;7;
Tile;;-50,62;1;1;7;
Tile;;-49,62;1;1;7;
Tile;;-55,66;1;1;7;
Tile;;-50,64;1;1;7;
Tile;;-50,66;1;1;7;
Tile;;-54,63;1;1;7;
Tile;;-54,64;1;1;7;
Tile;;-50,68;1;1;7;
Tile;;-54,65;1;1;7;
Tile;;-50,69;1;1;7;
Tile;;-54,66;1;1;7;
Tile;;-50,70;1;1;7;
Tile;;-54,67;1;1;7;
Tile;;-50,71;1;1;7;
Tile;;-54,68;1;1;7;
Tile;;-54,69;1;1;7;
Tile;;-54,70;1;1;7;
Tile;;-49,64;1;1;7;
Tile;;-53,70;1;1;7;
Tile;;-57,68;1;1;7;
Tile;;-52,64;1;1;7;
Tile;;-52,66;1;1;7;
Tile;;-52,67;1;1;7;
Tile;;-56,64;1;1;7;
Tile;;-52,68;1;1;7;
Tile;;-52,69;1;1;7;
Tile;;-56,66;1;1;7;
Tile;;-52,70;1;1;7;
Tile;;-56,68;1;1;7;
Tile;;-56,69;1;1;7;
Tile;;-56,70;1;1;7;
Tile;;-51,64;1;1;7;
Tile;;-51,66;1;1;7;
Tile;grass;-57,63;0;6;6;
NPC;Whanging;-55,69;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Discworld's;-49,65;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-71,72;1;1;7;
Tile;;-70,72;1;1;7;
Tile;;-69,72;1;1;7;
Tile;;-68,72;1;1;7;
